M_eV,omega_s,delta_phi_rad
0.01,1000000000000.0,0.06582119569
0.01,1023352047097.2576,0.06735825535175069
0.01,1047249412298.1476,0.06893120850311386
0.01,1071704829896.7094,0.07054089333054947
0.01,1096731331558.8157,0.07218816759388708
0.01,1122342253266.4197,0.07387390908340455
0.01,1148551242423.9392,0.07559901608757874
0.01,1175372265130.6365,0.07736440787176219
0.01,1202819613622.7776,0.07917102516803504
0.01,1230907913889.6018,0.08101983067649715
0.01,1259652133467.1387,0.08291180957826653
0.01,1289067589414.0244,0.08484797006045708
0.01,1319169956473.5742,0.08682934385341592
0.01,1349975275426.4324,0.08885698678050485
0.01,1381499961638.3237,0.0909319793207236
0.01,1413760813807.3613,0.09305542718446799
0.01,1446775022915.648,0.09522846190273511
0.01,1480560181389.91,0.09745224143008716
0.01,1515134292476.0513,0.09972795076169587
0.01,1550515779832.622,0.10205680256479598
0.01,1586723497348.3147,0.10444003782488463
0.01,1623776739188.7244,0.10687892650701111
0.01,1661695250077.6907,0.10937476823250716
0.01,1700499235818.794,0.1119288929715243
0.01,1740209374062.4849,0.11454266175173924
0.01,1780846825324.6812,0.11721746738361108
0.01,1822433244262.6646,0.11995473520257441
0.01,1864990791214.2942,0.122755923828564
0.01,1908542144006.6897,0.1256225259432765
0.01,1953110510040.635,0.12855606908558034
0.01,1998719638657.2524,0.1315581164655051
0.01,2045393833793.3904,0.13463026779723408
0.01,2093157966932.5737,0.1377741601515515
0.01,2142037490358.3833,0.14099146882819563
0.01,2192058450717.3235,0.14428390824858317
0.01,2243247502898.4155,0.14765323286938045
0.01,2295631924236.905,0.15110123811740858
0.01,2349239629049.6626,0.15462976134638085
0.01,2404099183509.974,0.15824068281597925
0.01,2460239820869.778,0.1619359266938002
0.01,2517691457037.277,0.16571746208069185
0.01,2576484706518.3745,0.16958730406003816
0.01,2636650898730.3555,0.1735475147715451
0.01,2698222094696.533,0.17760020451010222
0.01,2761231104130.759,0.18174753285030543
0.01,2825711502920.8325,0.18599170979723614
0.01,2891697651020.3022,0.19033499696412065
0.01,2959224710757.9575,0.19477970877748316
0.01,3028328665574.9453,0.19932821371044504
0.01,3099046339199.427,0.20398293554482358
0.01,3171415415268.9956,0.20874635466270317
0.01,3245474457411.3257,0.21362100936816744
0.01,3321262929793.741,0.2186094972398966
0.01,3398821218152.674,0.22371447651535134
0.01,3478190651314.1333,0.22893866750727612
0.01,3559413523216.8623,0.23428485405328947
0.01,3642533115449.6377,0.23975588499931597
0.01,3727593720314.938,0.2453546757176647
0.01,3814640664431.174,0.2510842096605559
0.01,3903720332886.0845,0.2569475399499269
0.01,3994880193954.178,0.26294779100436316
0.01,4088168824391.298,0.2690881602040169
