M_eV,dt_s,visibility
0.01,1e-15,0.9849221519566013
0.01,1.0352317759307377e-15,0.9843950987655274
0.01,1.0717048298967093e-15,0.9838497736703118
0.01,1.109462894327524e-15,0.9832855540474937
0.01,1.148551242423939e-15,0.9827017968332685
0.01,1.1890167424419899e-15,0.9820978379085066
0.01,1.2309079138896017e-15,0.9814729914694212
0.01,1.2742749857031322e-15,0.9808265493838795
0.01,1.3191699564735743e-15,0.9801577805333832
0.01,1.3656466567946124e-15,0.9794659301407845
0.01,1.4137608138073612e-15,0.9787502190838394
0.01,1.4635701180190798e-15,0.9780098431947466
0.01,1.5151342924760514e-15,0.9772439725458671
0.01,1.5685151643735446e-15,0.9764517507218706
0.01,1.6237767391887241e-15,0.975632294078613
0.01,1.6809852774253653e-15,0.9747846909891085
0.01,1.740209374062485e-15,0.9739080010770298
0.01,1.801520040802024e-15,0.9730012544382373
0.01,1.8649907912142942e-15,0.9720634508509225
0.01,1.9306977288832534e-15,0.9710935589750291
0.01,1.9987196386572526e-15,0.9700905155417124
0.01,2.06913808111479e-15,0.9690532245336901
0.01,2.142037490358383e-15,0.9679805563574496
0.01,2.2175052752539293e-15,0.9668713470083871
0.01,2.2956319242369047e-15,0.965724397230077
0.01,2.3765111138110776e-15,0.9645384716690034
0.01,2.4602398208697775e-15,0.9633122980262252
0.01,2.5469184389745402e-15,0.9620445662075973
0.01,2.6366508987303554e-15,0.9607339274743351
0.01,2.729544792402002e-15,0.9593789935958789
0.01,2.8257115029208325e-15,0.9579783360072033
0.01,2.9252663374366475e-15,0.9565304849729112
0.01,3.0283286655749454e-15,0.9550339287606643
0.01,3.135022062565112e-15,0.9534871128267257
0.01,3.2454744574113256e-15,0.9518884390166287
0.01,3.3598182862837876e-15,0.9502362647842375
0.01,3.478190651314134e-15,0.9485289024327386
0.01,3.6007334849856204e-15,0.9467646183813797
0.01,3.727593720314937e-15,0.9449416324620838
0.01,3.858923467029899e-15,0.9430581172503776
0.01,3.994880193954179e-15,0.9411121974354146
0.01,4.1356269178177144e-15,0.9391019492342313
0.01,4.2813323987193956e-15,0.9370253998557422
0.01,4.4321713424760854e-15,0.9348805270203857
0.01,4.58832461010084e-15,0.9326652585417383
0.01,4.749979434661403e-15,0.9303774719768549
0.01,4.917329645779025e-15,0.9280149943525478
0.01,5.0905759020366865e-15,0.9255756019752954
0.01,5.2699259315756565e-15,0.9230570203329684
0.01,5.455594781168514e-15,0.9204569240970827
0.01,5.647805074067546e-15,0.9177729372348276
0.01,5.846787276937601e-15,0.9150026332406781
0.01,6.052779976193355e-15,0.9121435354979851
0.01,6.266030164072656e-15,0.9091931177815272
0.01,6.486793534788508e-15,0.9061488049126438
0.01,6.715334791115135e-15,0.9030079735791855
0.01,6.9519279617755915e-15,0.8997679533331822
0.01,7.196856730011528e-15,0.8964260277797874
0.01,7.450414773728916e-15,0.8929794359717366
0.01,7.712906117627992e-15,0.8894253740242322
0.01,7.984645497739078e-15,0.8857609969658721
0.01,8.265958738801795e-15,0.8819834208419132
0.01,8.557183144940018e-15,0.8780897250868569
0.01,8.858667904100832e-15,0.8740769551840242
0.01,9.17077450674293e-15,0.8699421256304407
0.01,9.49387717927582e-15,0.8656822232260195
0.01,9.82836333277001e-15,0.861294210706623
0.01,1.0174634027476085e-14,0.8567750307411856
0.01,1.0533104453709382e-14,0.85212161031361
0.01,1.0904204429677526e-14,0.8473308655106271
0.01,1.1288378916846882e-14,0.8423997067372418
0.01,1.1686088553466497e-14,0.8373250443817116
0.01,1.2097810206889037e-14,0.8321037949522581
0.01,1.2524037545350744e-14,0.8267328877078569
0.01,1.2965281629896689e-14,0.821209271805453
0.01,1.3422071527160119e-14,0.8155299239858506
0.01,1.389495494373136e-14,0.8096918568202192
0.01,1.438449888287666e-14,0.8036921275387094
0.01,1.4891290324394118e-14,0.7975278474620052
0.01,1.5415936928422733e-14,0.7911961920557337
0.01,1.595906776404731e-14,0.7846944116265354
0.01,1.6521334063573683e-14,0.7780198426771506
0.01,1.7103410003378378e-14,0.771169919936162
0.01,1.7705993512268942e-14,0.7641421890759674
0.01,1.8329807108324375e-14,0.7569343201301172
0.01,1.8975598765218503e-14,0.7495441216183314
0.01,1.9644142809066266e-14,0.7419695553842214
0.01,2.0336240846866703e-14,0.7342087521470418
0.01,2.1052722727657026e-14,0.7262600277645357
0.01,2.179444753752988e-14,0.7181219001991814
0.01,2.256230462970635e-14,0.7097931071748169
0.01,2.3357214690901213e-14,0.701272624504655
0.01,2.418013084525718e-14,0.6925596850651679
0.01,2.5032039797173203e-14,0.6836537983830493
0.01,2.5913963014396626e-14,0.6745547707945638
0.01,2.6826957952797274e-14,0.6652627261279589
0.01,2.777211932429355e-14,0.6557781268502427
0.01,2.8750580409448774e-14,0.6461017956095724
0.01,2.976351441631313e-14,0.6362349370936299
